id_sub_act|sub_actividad|id_act
1|AGENCIA DE VIAJES DUAL|5
2|AGENCIAS DE VIAJES INTERNACIONAL|5
3|AGENCIAS DE VIAJES MAYORISTA|5
4|BAR|1
5|BOLERA|6
6|CABAÑA|2
7|CAFETERIA|1
8|CAMPAMENTO TURISTICO|2
9|CASA DE HUESPEDES|2
10|CENTRO DE CONVENCIONES |4
11|CENTRO DE RECREACION TURISTICA|4
12|CENTRO DE TURISMO COMUNITARIO|3
13|DISCOTECA|1
14|ESTABLECIMIENTO MOVIL|1
15|FUENTE DE SODA|1
16|HACIENDA TURISTICA|2
17|HOSTAL|2
18|HOSTAL RESIDENCIA|2
19|HOSTERIA|2
20|HOTEL|2
21|LODGE|2
22|OPERADOR TURISTICO|5
23|ORGANIZADORES DE EVENTOS, CONGRESOS Y CONVENCIONES|4
24|PENSION|2
25|PEÑA|4
26|PISTA DE PATINAJE|6
27|PLAZAS DE COMIDA|1
28|REFUGIO|2
29|RESORT|2
30|RESTAURANTE|1
31|SALA DE BAILE|4
32|SALA DE RECEPCIONES Y BANQUETES|4
33|SERVICIO DE CATERING|1
34|TERMAS Y BALNEARIOS|6
35|TRANSPORTE AEREO|7
36|TRANSPORTE MARITIMO Y FLUVIAL|7
37|TRANSPORTE TERRESTRES|7
